country_code,country,year,month,tempdiff
BRA,Brazil,2013,1,0.8140000000000001
BRA,Brazil,2013,2,0.8290000000000001
BRA,Brazil,2013,3,0.9520000000000001
BRA,Brazil,2013,4,0.897
BRA,Brazil,2013,5,1.119
BRA,Brazil,2013,6,1.6219999999999999
BRA,Brazil,2013,7,0.9840000000000001
BRA,Brazil,2013,8,0.35600000000000004
BRA,Brazil,2013,9,0.951
BRA,Brazil,2013,10,0.818
BRA,Brazil,2013,11,0.737
BRA,Brazil,2013,12,1.06
BRA,Brazil,2014,1,0.9470000000000001
BRA,Brazil,2014,2,0.8170000000000001
BRA,Brazil,2014,3,0.69
BRA,Brazil,2014,4,1.177
BRA,Brazil,2014,5,1.03
BRA,Brazil,2014,6,1.4709999999999999
BRA,Brazil,2014,7,1.115
BRA,Brazil,2014,8,1.26
BRA,Brazil,2014,9,1.771
BRA,Brazil,2014,10,1.541
BRA,Brazil,2014,11,1.1520000000000001
BRA,Brazil,2014,12,1.04
BRA,Brazil,2015,1,1.4669999999999999
BRA,Brazil,2015,2,0.9670000000000001
BRA,Brazil,2015,3,0.915
BRA,Brazil,2015,4,1.4669999999999999
BRA,Brazil,2015,5,1.3019999999999998
BRA,Brazil,2015,6,1.656
BRA,Brazil,2015,7,1.815
BRA,Brazil,2015,8,2.085
BRA,Brazil,2015,9,2.298
BRA,Brazil,2015,10,2.187
BRA,Brazil,2015,11,1.995
BRA,Brazil,2015,12,1.97
BRA,Brazil,2016,1,1.314
BRA,Brazil,2016,2,1.751
BRA,Brazil,2016,3,1.4880000000000002
BRA,Brazil,2016,4,2.141
BRA,Brazil,2016,5,1.33
BRA,Brazil,2016,6,0.83
BRA,Brazil,2016,7,1.744
BRA,Brazil,2016,8,1.662
BRA,Brazil,2016,9,1.113
BRA,Brazil,2016,10,1.345
BRA,Brazil,2016,11,1.189
BRA,Brazil,2016,12,1.3019999999999998
BRA,Brazil,2017,1,1.122
BRA,Brazil,2017,2,1.0070000000000001
BRA,Brazil,2017,3,1.018
BRA,Brazil,2017,4,1.235
BRA,Brazil,2017,5,1.811
BRA,Brazil,2017,6,1.633
BRA,Brazil,2017,7,0.846
BRA,Brazil,2017,8,1.732
BRA,Brazil,2017,9,1.733
BRA,Brazil,2017,10,1.6840000000000002
BRA,Brazil,2017,11,1.0490000000000002
BRA,Brazil,2017,12,1.181
BRA,Brazil,2018,1,1.045
BRA,Brazil,2018,2,0.585
BRA,Brazil,2018,3,1.294
BRA,Brazil,2018,4,1.314
BRA,Brazil,2018,5,1.209
BRA,Brazil,2018,6,0.879
BRA,Brazil,2018,7,1.435
BRA,Brazil,2018,8,0.757
BRA,Brazil,2018,9,1.571
BRA,Brazil,2018,10,1.626
BRA,Brazil,2018,11,1.143
BRA,Brazil,2018,12,0.9790000000000001
BRA,Brazil,2019,1,1.547
BRA,Brazil,2019,2,1.238
BRA,Brazil,2019,3,1.235
BRA,Brazil,2019,4,1.725
BRA,Brazil,2019,5,1.855
BRA,Brazil,2019,6,2.0540000000000003
BRA,Brazil,2019,7,1.21
BRA,Brazil,2019,8,1.175
BRA,Brazil,2019,9,1.9580000000000002
BRA,Brazil,2019,10,1.7
BRA,Brazil,2019,11,1.712
BRA,Brazil,2019,12,1.435
BRA,Brazil,2020,1,1.28
BRA,Brazil,2020,2,1.054
BRA,Brazil,2020,3,1.274
BRA,Brazil,2020,4,1.24
BRA,Brazil,2020,5,0.907
BRA,Brazil,2020,6,1.67
BRA,Brazil,2020,7,1.64
BRA,Brazil,2020,8,1.584
BRA,Brazil,2020,9,2.174
BRA,Brazil,2020,10,1.956
BRA,Brazil,2020,11,1.181
BRA,Brazil,2020,12,1.19
BGR,Bulgaria,2009,12,0.0
BGR,Bulgaria,2010,1,0.213
BGR,Bulgaria,2010,2,1.053
BGR,Bulgaria,2010,3,1.222
BGR,Bulgaria,2010,4,1.194
BGR,Bulgaria,2010,5,1.217
BGR,Bulgaria,2010,6,1.026
BGR,Bulgaria,2010,7,1.376
BGR,Bulgaria,2010,8,3.4339999999999997
BGR,Bulgaria,2010,9,1.021
BGR,Bulgaria,2010,10,-1.547
BGR,Bulgaria,2010,11,4.676
BGR,Bulgaria,2010,12,0.5720000000000001
BGR,Bulgaria,2011,1,0.8420000000000001
BGR,Bulgaria,2011,2,-0.381
BGR,Bulgaria,2011,3,0.706
BGR,Bulgaria,2011,4,-0.413
BGR,Bulgaria,2011,5,0.085
BGR,Bulgaria,2011,6,0.973
BGR,Bulgaria,2011,7,1.6869999999999998
BGR,Bulgaria,2011,8,1.454
BGR,Bulgaria,2011,9,3.38
BGR,Bulgaria,2011,10,-1.0090000000000001
BGR,Bulgaria,2011,11,-2.655
BGR,Bulgaria,2011,12,1.318
BGR,Bulgaria,2012,1,-0.23600000000000002
BGR,Bulgaria,2012,2,-4.4719999999999995
BGR,Bulgaria,2012,3,1.798
BGR,Bulgaria,2012,4,2.455
BGR,Bulgaria,2012,5,0.971
BGR,Bulgaria,2012,6,2.95
BGR,Bulgaria,2012,7,4.359
BGR,Bulgaria,2012,8,2.9130000000000003
BGR,Bulgaria,2012,9,2.779
BGR,Bulgaria,2012,10,3.3810000000000002
BGR,Bulgaria,2012,11,2.09
BGR,Bulgaria,2012,12,-1.182
BGR,Bulgaria,2013,1,1.814
BGR,Bulgaria,2013,2,2.582
