Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Argentina,Oct-20,,0.0,223.5902,0.0,1905.4022,7071.048000000001,0.0,694.5088,46.6506,0.0,0.0,149.8101,901.2183,,,
Argentina,Oct-21,,136.3776,215.2662,0.0,1943.3977,5642.5032,0.0,913.7695,844.3849,0.0,0.0,264.5108,1222.0909,,,
Argentina,Oct-22,,,197.4284,,2958.0247,5103.4207,,68.2397,46.0118,,,313.2688,1283.9354,,,
Argentina,Sep-15,,99.689,120.185,0.0,3460.5890000000004,5331.615,,383.907,1606.297,0.0,0.0,1.36,48.778999999999996,,,
Argentina,Sep-16,,281.14799999999997,43.32899999999999,0.0,2206.687,5981.143,,538.127,1378.108,0.0,,1.307,44.537,,,
Argentina,Sep-17,,124.212,148.086,0.0,2559.3320000000003,6372.486999999999,,615.818,765.6410000000001,0.0,,1.39,46.586999999999996,,,
Argentina,Sep-18,,61.083999999999996,142.5044,0.0,2256.4433,7528.7627,0.0,314.9383,80.9072,0.0,0.0,10.987,146.9644,,,
Argentina,Sep-19,,190.1562,164.1207,0.0,2301.237,6571.4259999999995,0.0,878.5485,250.5144,0.0,0.0,84.7567,524.6745,,,
Argentina,Sep-20,,54.2578,227.6446,0.0,1897.7964,6344.8307,0.0,884.8493,222.956,0.0,0.0,124.1807,844.0024,,,
Argentina,Sep-21,,314.3614,211.5754,0.0,1797.1697,6251.8294,0.0,782.6645,769.9771,0.0,0.0,193.3525,1043.5548,,,
Argentina,Sep-22,,101.6165,197.338,,1825.2276,4906.4903,,703.7888,952.3723,,,258.3908,1117.0196,,,
Australia,Apr-10,1266.285,12999.464,216.287,0.083,1044.406,3392.8740000000003,,,58.605,,,26.811,350.51099999999997,,,6.75
Australia,Apr-11,1263.021,13143.339,165.18400000000003,0.083,911.0369999999999,3050.728,,,16.025,,,95.94,507.972,,,10.413
Australia,Apr-12,1113.32,12256.252,237.59099999999998,0.083,1207.434,3964.053,,,64.32600000000001,,,160.244,432.45599999999996,,,15.158
Australia,Apr-13,1048.799,11876.643999999998,246.108,0.083,1417.845,3325.833,,,8.372,,,239.57299999999998,582.163,,,20.317
Australia,Apr-14,881.143,11392.532,272.38,0.083,1157.836,4272.442,,,489.991,,,276.378,676.409,,,8.869
Australia,Apr-15,735.1881,12051.7231,260.244,0.083,1067.2862,3784.0696,,,490.41,,,376.7453,874.7301,,,16.3288
Australia,Apr-16,960.4428,12636.5266,580.5049,0.0,953.9071,3842.9439,,,425.0032,,,465.7322,889.5616,,,31.4478
Australia,Apr-17,761.5374,11330.0001,235.6273,0.083,684.0958,4278.6492,,,447.1977,,,617.8798,839.1469999999999,,,17.7273
Australia,Apr-18,790.3141,11692.558,268.9318,0.0,1500.098,3777.8421,0.0,0.0,339.6176,0.0,0.0,751.6364,1040.9211,0.0,0.0,34.5413
Australia,Apr-19,739.1876,11322.5731,257.2996,0.0,960.2559,3675.5708,0.0,0.0,342.8675,0.0,0.0,1248.7755,1459.6570000000002,0.0,0.0,37.347
Australia,Apr-20,740.0371,10433.3718,253.3519,0.0,1268.3681,3674.5505,0.0,0.0,300.0797,0.0,0.0,1632.0286,1598.7827,0.0,0.0,54.8856
Australia,Apr-21,876.4952,10611.9414,257.9974,0.0,1364.8056,3535.9508,0.0,0.0,331.1218,0.0,0.0,2293.9608,1650.4649,0.0,0.0,67.03399999999999
Australia,Apr-22,879.1574,9817.8524,240.9318,,1159.1255,3684.2803,,,345.01199999999994,,,2642.1752,2225.3763,,,56.9318
